global_id,orig_dim_id,title,author_org,year,current_version,source_type,authority_level,domain,url,primary_secondary,key_concepts,dims_referenced,notes
A024,dim02:S2-08,Designing the User Interface（1st–6th ed.）,"Shneiderman, Plaisant et al. / Pearson",1986–2016,6th ed. 2016（后续 7th）,textbook,A,interaction design,—,primary,Eight Golden Rules,02,规则措辞各版稳定；dims: 02
A025,dim04:S03,Grid Systems in Graphic Design,Josef Müller-Brockmann / Niggli,1981,在售(7th+ printing),book,A,layout/grid,https://niggli.ch/en/products/rastersysteme-fur-die-visuelle-gestaltung,primary,"grid, 8-32 fields, Swiss style",04,从业者手册；含客观性设计观主张；原级别标注 A(设计正典)（归入 A 组，细目保留）；dims: 04
A026,dim08:R8-01,Lost in the Middle: How Language Models Use Long Contexts,Liu et al. (Stanford/UW),2023/2024,TACL 12:157-173,peer-reviewed paper,A,LLM context,https://arxiv.org/abs/2307.03172,primary,"position bias, U-shaped attention",08,"""全塞 context""失败的核心理论证据；dims: 08"
A027,dim07:S33,Towards Human-AI Synergy in UI Design (PrototypeFlow),arXiv (CHI 体系),2025,—,学术论文,A,LLM UI 生成,https://arxiv.org/html/2412.20071v3,primary,意图澄清；v0 需 6.1 轮修改,07,含 v0/Uizard 对照实验；dims: 07
A028,dim08:R8-23,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,Zheng et al. (UC Berkeley),2023,NeurIPS 2023; arXiv:2306.05685,peer-reviewed paper,A,LLM-as-judge,https://arxiv.org/abs/2306.05685,primary,">80% agreement, position/verbosity/self-enhancement bias",08,该领域奠基文献；dims: 08
A029,dim08:R8-24,Who Validates the Validators? Aligning LLM-Assisted Evaluation of LLM Outputs with Human Preferences,Shankar et al.,2024,arXiv:2404.12272,peer-reviewed paper,A,LLM-as-judge,https://arxiv.org/abs/2404.12272,primary,"criteria drift, 逐任务人类校准必要性",08,评审治理关键文献；dims: 08
A030,dim07:S25,Retrospective and Challenges for Model-Based Interface Development,Pedro Szekely,1996,—,学术论文,A,MBUID 失败诊断,"CADUI'96, Springer pp.1-27（引证见 dl.acm.org/doi/fullHtml/10.1145/3634713.3634721）",primary,领域自我回顾,07,30 年持续被引的基准文献；dims: 07
A031,dim07:S38,Reusing UI elements with MBUID（综述，含 MARIA/TERESA/IFML 谱系）,idus.us.es,~2010s,—,学术综述,A,MDUID 综述,https://idus.us.es/server/api/core/bitstreams/8fbb5b47-193d-47a0-9944-8611e5e00df7/content,secondary,MDUID 谱系与引用网,07,谱系确认；dims: 07
A032,dim02:S2-25,Testing the Three-Click Rule,Joshua Porter / UIE,2003,—,industry report,A,navigation myth,https://articles.uie.com/three_click_rule/（经多源转录）,primary,3-click rule 证伪,02,"与 nngroup ""3-Click Rule…Is False"" 互证；dims: 02"
A033,dim08:R8-35,Fragmentation of International Law (ILC) 原则总结: lex specialis 等,UN ILC / Legal Response Int'l,2006/2026,summary,legal commentary on ILC,A,norm conflict,https://legalresponse.org/resource/the-unfccc-and-paris-agreement-and-the-question-of-lex-specialis/,secondary,"和谐解释, lex specialis/posterior, jus cogens",08,ILC 报告的一手性转述；dims: 08
A034,dim08:R8-36,Is Lex Posterior Necessary in Legal Systems?,"Faculty of Law, U. Belgrade",2025,journal article,peer-reviewed paper,A,norm conflict,https://fol.ius.bg.ac.rs/2025/09/19/is-lex-posterior-necessary-in-legal-systems/,primary,"三大冲突判准, antinomy 理论",08,法学理论细节；dims: 08
A035,dim01:S22,Schuler & Namioka 1993 PD 定义（多学术来源互证）,arXiv 2509.11115 等,1993/2025,—,学术论文,A,PD,https://arxiv.org/html/2509.11115v1,secondary,"""people destined to use the system play a critical role in designing it""、斯堪的纳维亚起源、co-designer",01,"原始文献：Schuler & Namioka (eds.), Participatory Design, 1993；dims: 01"
A036,dim01:S23,Origins (and Future) of the Participatory Design Conference,ACM Interactions,2025,—,学会刊物,A,PD 史,https://interactions.acm.org/archive/view/july-august-2025/origins-and-future-of-the-participatory-design-conference,primary（史料）,users as codesigners、PDC 起源、Nygaard/Ehn,01,ACM 官方刊物；dims: 01
A037,dim02:S2-13,Principles of Gestalt Psychology,Kurt Koffka,1935,—,book,A,perception,—,primary,"学派系统化；""whole is other than…""",02,Köhler 1929/1947 并行；dims: 02
A038,dim04:S02,Information Visualization: Perception for Design,Colin Ware / Morgan Kaufmann,1999 (4th ed. 2020),4th ed.,book,A,perception/viz,https://www.interaction-design.org/literature/article/preattentive-visual-properties-and-how-to-use-them-in-information-visualization,primary(书)/secondary(链接),"preattentive attributes, color/form/motion/position",04,视觉层级感知机制的核心来源；dims: 04
A039,dim08:R8-42,Disease prioritization: what is the state of the art?,"Epidemiology & Infection, Cambridge",2015+,journal article,peer-reviewed review,A,priority ordering,https://www.cambridge.org/core/journals/epidemiology-and-infection/article/disease-prioritization-what-is-the-state-of-the-art/2BE9E1A0C286ACDC491CA2AF4D3A37E1,primary,lexicographic elementary vs ELECTRE/PROMETHEE outranking,08,优先级排序实践谱系；dims: 08
A040,dim08:R8-19,Measuring Attribution in Natural Language Generation Models (AIS),Rashkin et al. (Google),2023,arXiv:2112.12870,peer-reviewed paper,A,provenance,https://arxiv.org/abs/2112.12870,primary,attributable to identified sources,08,归因框架基石；dims: 08
A041,dim08:R8-20,Enabling Large Language Models to Generate Text with Citations (ALCE),Gao et al. (Princeton),2023,arXiv:2305.14627,peer-reviewed paper,A,provenance eval,https://arxiv.org/abs/2305.14627,primary,"citation recall/precision, NLI entailment",08,引用忠实度标准方法；dims: 08
A042,dim08:R8-21,SourceCheckup,Wu et al.,2024/2025,paper,research paper,A,provenance eval,(经 arXiv:2605.22785 转述),secondary,30-50% 医学陈述引用支持不足,08,引用≠忠实的量化证据；dims: 08
A043,dim04:S14,SUS: A 'quick and dirty' usability scale,John Brooke / in Usability Evaluation in Industry,1996,—,book chapter,A,questionnaire,https://blucado.com/sus-calculator/,primary(章节)/secondary(链接),"SUS scoring, 10 items",04,均值≈68；非百分制；dims: 04
A044,dim04:S15,UMUX-LITE: when there's no time for the SUS,"Lewis, Utesch & Maher / ACM CHI",2013,—,conference paper,A,questionnaire,https://dl.acm.org/doi/10.1145/2470654.2481287,primary,"2-item scale, SUS regression",04,信度 .82-.83；r(SUS)=.81；dims: 04
A045,dim01:S20,Gould & Lewis UCD 三原则（ScienceDirect Topics 概述）,ScienceDirect,—,—,学术概述,A,UCD,https://www.sciencedirect.com/topics/computer-science/user-centered-design,secondary,"early focus on users/tasks, empirical measurement, iterative design",01,转述 Gould & Lewis 1985 (CACM 28(3):300-311)；dims: 01
A046,dim01:S21,Norman & Draper 1986 UCD 起源（IJDesign 论文引述）,Int'l Journal of Design,—,—,学术论文,A,UCD 史,http://www.ijdesign.org/index.php/IJDesign/article/view/561/280,secondary,"UCD 词源、""needs of users dominate""",01,"原始文献：Norman & Draper (eds.), User-Centered System Design, 1986；dims: 01"
A047,dim08:R8-30,Design2Code: Benchmarking Multimodal Code Generation for Automated Front-End Engineering,Si et al. (Stanford),2024,arXiv:2403.03163,peer-reviewed paper,A,UI generation eval,https://arxiv.org/pdf/2403.03163,primary,"484 真实网页, 视觉元素回忆/布局是短板",08,生成能力边界基线；dims: 08
A048,dim07:S26,"Past, Present, and Future of UI Software Tools","Myers, Hudson, Pausch",2000,—,学术论文,A,UI 工具成败框架,ACM TOCHI 7(1):3-28（https://dl.acm.org/doi/10.1145/344949.344959）,primary,threshold/ceiling,07,HCI canon；dims: 07
A049,dim07:S14,Building Multi-Platform UIs with UIML,"Ali, Pérez-Quiñones, Abrams (Virginia Tech/Harmonia)",2001,历史,学术论文,A,UIDL,https://arxiv.org/pdf/cs/0111024,primary,structure/style/content/behavior 四分；renderer,07,UIML 设计自述；dims: 07
A050,dim02:S2-02,10 Usability Heuristics for User Interface Design（当前版 + 2020 更新说明）,Nielsen Norman Group,1994/2020,2020+（措辞刷新，致谢 Moran & Liu）,article,A,usability heuristics,https://www.nngroup.com/articles/ten-usability-heuristics/,primary(author),10 heuristics 现行定义、2020 更新声明,02,"""heuristics… broad rules of thumb, not specific guidelines""；dims: 02"
A051,dim04:S25,Average task times in usability tests: what to report?,Sauro & Lewis / ACM CHI,2010,—,conference paper,A,UX metrics,https://doi.org/10.1145/1753326.1753679,primary,"geometric mean, skewed task times",04,任务时间统计报告规范；dims: 04
A052,dim04:S13,Measuring the User Experience (2nd ed.),Tullis & Albert / Morgan Kaufmann,2013,2nd ed.,book,A,UX metrics,https://educate.elsevier.com/book/details/9780124157811,primary,"task success, time-on-task, errors, SUM",04,指标操作化的标准参考书；dims: 04
A053,dim04:S17,Measuring the User Experience on a Large Scale (HEART),"Rodden, Hutchinson & Fu / Google, CHI 2010",2010,—,conference paper,A,UX metrics,https://kerryrodden.com/heart/,primary,"HEART, GSM, enterprise engagement caveat",04,原 PDF: ai.google/research/pubs/pub36299；Conflict Zone C7（Open）：HEART 原文指出企业场景 Engagement 价值有限，与 ISO 9241-110:2020 user engagement 原则构成场景化张力；dims: 04
A054,dim04:S01,The Non-Designer's Design Book,Robin Williams / Peachpit,1994 (4th ed. 2015),4th ed.,book,A,visual design,https://presentationzen.com/blog/design-fundamentals-contrast-repetition-alignment-proximity,primary(书)/secondary(链接),"CRAP/PARC, contrast, alignment",04,教学法，非实证；书中顺序为 PARC；原级别标注 A(教学正典)（归入 A 组，细目保留）；dims: 04
A055,dim08:R8-28,MLLM-as-a-Judge: Assessing Multimodal LLM-as-a-Judge,Chen et al.,2024,arXiv:2406.06594,peer-reviewed paper,A,VLM judge,https://arxiv.org/abs/2406.06594,secondary,"成对比较可对齐, 绝对打分发散",08,经多处转述核验；dims: 08
A056,dim04:S16,Development of NASA-TLX,Hart & Staveland / Advances in Psychology 52,1988,—,book chapter,A,workload,https://www.sciencedirect.com/org/science/article/pii/S1541016124000084,primary(1988)/secondary(链接),"6 subscales, pairwise weights, Raw TLX",04,认知负荷测量标准；dims: 04
A057,dim07:S22,Tool Support for Designing Nomadic Applications (TERESA),"Mori, Paternò, Santoro",2003,停滞,学术论文,A,任务驱动 UI 生成,http://giove.isti.cnr.it/attachments/publications/2003-A2-79.pdf,primary,CTT→AUI→CUI 变换；组合算子,07,IUI'03，被引 214+；dims: 07
A058,dim03:S11,Card Sorting: Uncover Users' Mental Models,NN/g,2024,更新版,研究型文章,A,卡片分类,https://www.nngroup.com/articles/card-sorting-definition/,primary,open/closed/hybrid；推荐 tree testing 替代 closed,03,Normative；level reconciled from S/A（cross-verification §5 裁决：NN/g 研究型文章统一为 A，S 保留给标准/法规与原始同行评审论文；dim03 的 S 为离群值）；dims: 03
A059,dim07:S19,Cameleon Reference Framework 定义（Calvary/Coutaz 体系）,CLIPS/IMAG (Grenoble),2003,历史,学术论文,A,多目标 UI 框架,http://iihm.imag.fr/demeure/43850324.pdf,primary,Task/AUI/CUI/FUI；reification/abstraction/translation,07,SDIR 最直接先例；dims: 07
A060,dim01:S38,ISO 9241-10:1996 七原则引述（Aalto 学位论文）,Aalto University,—,—,学位论文,A,对话原则史,https://aaltodoc.aalto.fi/bitstreams/c6cdd251-8947-4cf7-a87a-14e7d412a5f2/download,secondary,1996 版 7 原则原文转述,01,"佐证 110:2006 非""10 条""；原级别标注 A（二级）（归入 A 组，细目保留）；dims: 01"
A061,dim07:S31,Design-to-code AI tools 评估（LUT 学士论文）,Manninen (LUT Univ.),2024,—,学位论文,A,工具评估,https://lutpub.lut.fi/bitstream/handle/10024/167161/kandidaatintyö_manninen_juhani.pdf,primary,响应式失败/意图识别缺失,07,Locofy/Anima/Builder.io 实测；dims: 07
A062,dim07:S20,MARIA (W3C Member Submission),"Paternò, Santoro, Spano (ISTI-CNR)",2012,2011 后停滞,标准提交,A,抽象 UI 语言,https://www.w3.org/wiki/images/3/36/MARIA.pdf,primary,抽象交互器分类；AUI→CUI 细化表,07,TOCHI 2009 论文版：ACM TOCHI 16(4)；dim 自注定级 S→A（取箭头后级别）；dims: 07
A063,dim03:S21,Pattern Languages in HCI: A Critical Review,Dearden & Finlay / Human-Computer Interaction 21(1),2006,—,同行评审,A,模式语言批判,https://doi.org/10.1207/s15327051hci2101_3,primary,四个关键问题、实证缺失、价值负载,03,HCI 模式研究必备批判文献；dims: 03
A064,dim01:S16,Design Council — Framework for Innovation（Double Diamond 官方页）,Design Council UK,2004/2019,2019 Framework,机构官方框架,A,设计过程,https://www.designcouncil.org.uk/resources/framework-for-innovation/,primary,Discover-Define-Develop-Deliver、发散/收敛、4 原则,01,CC 许可，官方一手；dims: 01
A065,dim01:S24,"Nielsen, Iterative user-interface design / Usability Engineering Life Cycle",Semantic Scholar（IEEE Computer 条目）,1992/1993,—,学术论文,A,迭代设计/可用性工程,https://www.semanticscholar.org/paper/The-Usability-Engineering-Life-Cycle-Nielsen/a351a9f338677a39cb466d3e5e08947d843d20fa,primary（条目+摘要）,迭代精炼、实证测试+原型+迭代,01,Computer 26(11):32-41；dims: 01
B001,dim05:S09; dim08:R8-14,axe-core,Deque Systems (GitHub),持续,v4.x 活跃（2026）,OSS tool,B,Accessibility testing,https://github.com/dequelabs/axe-core ; https://www.deque.com/axe/axe-core/,primary,"规则引擎；Lighthouse/Accessibility Insights/pa11y 底层, zero false positives, WCAG 2.0-2.2 规则库","05, 08","MPL-2.0；零误报设计原则；设计规则引擎最成功先例；level reconciled from B/C（cross-verification §5 裁决：axe-core 工具/规则库保持 B（工程事实），与 Deque 数据报告（C）区分）；dims: 05, 08"
B002,dim08:R8-38,"adr.github.io (ADR hub, MADR)",ADR community,2026,current,community standard,B,ADR,https://adr.github.io/ ; https://adr.github.io/madr/,primary,"模板谱系, MADR frontmatter, Tyree & Akerman 2005",08,已核验；dims: 08
B003,dim08:R8-37,Documenting Architecture Decisions,Michael Nygard,2011,blog,practitioner canon,B,ADR,https://cognitect.com/blog/2011/11/15/documenting-architecture-decisions,primary,"Context/Decision/Status/Consequences, supersede",08,ADR 源头文献；dims: 08
B004,dim02:S2-30,Redefining Affordance via Computational Rationality（affordance 概念谱系综述）,arXiv,2025,—,survey paper,B,affordance 理论,https://arxiv.org/html/2501.09233v1,secondary,perceived/misperceived affordance、signifier 定义汇总,02,术语谱系查证用；dims: 02
B005,dim08:R8-03,Effective Context Engineering for AI Agents,Anthropic,2025-09,blog,vendor engineering blog,B,agent context,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,primary,"smallest high-signal token set, attention budget",08,经二手核验关键引文；dims: 08
B006,dim08:R8-06,Equipping Agents for the Real World with Agent Skills,Anthropic,2025-10 (upd. 2025-12),blog + open standard,vendor engineering blog/standard,B,agent skills,https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,primary,"SKILL.md, 3-level progressive disclosure, security caveat",08,原文已核验；dims: 08
B007,dim01:S28,A Review of Experiments with Synthetic Users,MeasuringU,2025/26,—,行业研究综述,B,AI×用户研究,https://measuringu.com/review-of-experiments-with-synthetic-users/,secondary,12 项对比研究：9 鼓励 vs 14 负面,01,"平衡视角；Low Confidence（L12：单一行业综述，""9 鼓励 vs 14 负面""计数未独立复核）；dims: 01"
B008,dim05:S16,Human Interface Guidelines,Apple,持续更新（2025 Liquid Glass 版）,2026 当前版,Platform guidelines,B,Apple platforms,https://developer.apple.com/design/human-interface-guidelines,primary,Hierarchy/Harmony/Consistency; Foundations/Patterns/Components/Technologies,05,首页原则已逐字核实；dims: 05
B009,dim05:S17,iOS 11 Design Principles（存档）,principles.design,2017 存档,历史版本,Archive,B,Apple platforms,https://principles.design/examples/ios-11-design-principles,secondary,经典六原则原文,05,六原则 2018 后从 HIG 正文移除；dims: 05
B010,dim05:S19,SF Symbols,Apple Developer,2025 (v7),"7,000+ symbols",Platform resource,B,Apple platforms,https://developer.apple.com/sf-symbols/,primary,"9 weights × 3 scales, 字体对齐, 本地化",05,一手核实；dims: 05
B011,dim06:S34,Style Dictionary (npm),Amazon（开源）,2026,5.5.2 (2026-08-19),工具包,B,cross-platform build,https://www.npmjs.com/package/style-dictionary,primary,一源多平台输出；v4 起一等 DTCG 支持,06,npm 核实；dims: 06
B012,dim03:S35,Dashboard Design vs Data Visualization,Fuselab,2026,—,行业分析,B,dashboard vs explorer,https://fuselabcreative.com/dashboard-design-vs-data-visualization/,secondary,每日打开测试、运营 vs 分析分叉、状态管理,03,转引 NN/g preattentive 研究；dims: 03
B013,dim04:S05,Material Design spacing/layout,Google,2014–,M3,platform spec,B,design system,https://m3.material.io/foundations/layout/understanding-layout/spacing,primary,8dp baseline grid,04,8pt 惯例的平台源头；dims: 04
B014,dim05:S25,Fluent 2 Design System,Microsoft,2023+,2026 活跃维护,Platform guidelines,B,Fluent/Windows,https://fluent2.microsoft.design/,primary,token 源、A11y 工具、UI kit 分层,05,一手核实；dims: 05
B015,dim06:S19,Design System Governance (Enterprise UI course),Steve Kinney,2026,—,教学课程（行业专家）,B,governance,https://stevekinney.com/courses/enterprise-ui/design-system-governance,secondary,中央平台团队+联邦产品团队+治理委员会；Atlassian 迁移自动化,06,二手；Low Confidence（L8：Atlassian 治理细节[Contribution Ladder]经二手教学材料转述）；dims: 06
B016,dim03:S20,Interaction Design Patterns（Glossary ch.41）,IxDF,2024,—,学术百科,B,HCI 模式史,https://ixdf.org/literature/book/the-glossary-of-human-computer-interaction/interaction-design-patterns,secondary,Common Ground 首个 HCI 模式集、van Welie、同名异物问题,03,dims: 03
B017,dim03:S08,Breadth vs Depth,Kath Straub / HFI,2003,—,综述,B,IA 层级,https://www.humanfactors.com/newsletters/breadth_vs_depth_we_revisit_this_question.html,secondary,16 顶层×2-3 层最优、concave 形状、scent×结构交互,03,"综述 Larson & Czerwinski 1998 等一手实验；Low Confidence（L2：""约 16 顶层选项 × 2–3 层""经 HFI 二手转述 Larson & Czerwinski 1998，原始实验为 1998 Web 语境）；dims: 03"
B018,dim07:S28,IFML 1.0 Tutorial,Brambilla / modeling-languages.com,2014,—,教程,B,IFML,https://modeling-languages.com/ifml-interaction-flow-modeling-language-1-0-tutorial/,secondary,WebRatio 工业案例,07,含生产力数据；dims: 07
B019,dim04:S12,The Streamlined Cognitive Walkthrough Method,"Rick Spencer / Microsoft, CHI 2000",2000,—,conference paper,B,inspection method,https://gradebuddy.com/doc/2002461/the-streamlined-cognitive-walkthrough-method/,primary,"2-question CW, social constraints",04,工程环境适配版；dims: 04
B020,dim01:S25,What Is Lean UX? Think-Make-Check 指南,Parallel HQ,2026,—,行业指南,B,Lean UX,https://www.parallelhq.com/blog/what-lean-ux,secondary,think-make-check、assumptions→hypotheses、outcomes over deliverables、Lean UX Canvas,01,"原始文献：Gothelf & Seiden, Lean UX (2013, O'Reilly; 3rd ed. 2021)；dims: 01"
B021,dim05:S21,Material 3 Expressive launch,Google (blog.google),2025-05,M3 当前形态,Official blog,B,Material Design,https://blog.google/products-and-platforms/platforms/android/material-3-expressive-android-wearos-launch/,primary,Expressive 发布、46 研究/18k 参与者、4x 识别速度,05,厂商研究数据无独立复现；dims: 05
B022,dim05:S23,Material 3 — Canonical layouts / Window size classes,Google (m3.material.io),持续更新,M3 当前,Platform guidelines,B,Material Design,https://m3.material.io/foundations/layout/canonical-layouts/overview,primary(经镜像),list-detail/supporting pane/feed; 600/840/1200/1600 断点,05,经 SAP Fiori/Supernova 逐字镜像核实；dims: 05
B023,dim05:S22,Material Design 3 — Color system,Google (m3.material.io),持续更新,M3 Expressive 版,Platform guidelines,B,Material Design,https://m3.material.io/styles/color/system/how-the-system-works,primary,"key color → tonal palette → color roles, on-配对",05,经 Material Theme Builder 官方仓库交叉；dims: 05
B024,dim05:S24,Material Theme Builder,material-foundation (GitHub),持续,活跃,Official tool,B,Material Design,https://github.com/material-foundation/material-theme-builder,primary,scheme 生成算法、role 定义,05,Google 官方 org；dims: 05
B025,dim02:S2-28,Myth #23: Choices should always be limited to 7±2（含 Miller/Nielsen/Tufte 驳斥汇编）,Zoltán Gócza / UX Myths,2010,—,curated article,B,myth debunk,https://uxmyths.com/post/931925744/myth-23-choices-should-always-be-limited-to-seven,secondary,Miller 滥用考证,02,含 Miller 本人表态转录；dims: 02
B026,dim03:S04,Object-Oriented UX (OOUX),LogRocket（述 Prater 方法）,2025,—,实践文章,B,OOUX,https://blog.logrocket.com/ux-design/object-oriented-ux-ooux/,secondary,对象优先、ORCA,03,方法定义清晰；dims: 03
B027,dim03:S05,OOUX 官方站,Sophia Prater / Rewired,2025,持续更新,一手方法站,B,OOUX,https://ooux.com/people/sophiavprater,primary,ORCA、noun foraging、OOUX 源流（CNN 2012、ALA 2015）,03,NN/g 播客背书；dims: 03
B028,dim08:R8-12,Open Policy Agent 官方站,OPA/CNCF,2026,current,official docs,B,policy-as-code,https://openpolicyagent.org/,primary,"decouple policy, Rego, audit trail, decision replay",08,已核验；dims: 08
B029,dim08:R8-04,Introducing Contextual Retrieval,Anthropic,2024-09,blog,vendor engineering blog,B,RAG,https://www.anthropic.com/news/contextual-retrieval,primary,"contextual embeddings/BM25, hybrid, rerank, 200k token 阈值",08,原文已核验；49%/67% 数字为自测；dims: 08
B030,dim04:S06,Reading Online Text: A Comparison of Four White Space Layouts,Chaparro et al. / SURL Wichita State,2004,—,journal article (Usability News),B,readability,https://portfolio.erau.edu/en/publications/reading-online-text-a-comparison-of-four-white-space-layouts/,primary,"margins, leading, comprehension",04,n=20；方向可靠、效应量勿外推；原级别标注 B(小样本学术)（归入 B 组，细目保留）；Low Confidence（L5：whitespace +20% 为 n=20 小样本，方向可用、效应量不可外推）；dims: 04
B031,dim06:S31,Material 3 design tokens,Google,2024–2026,M3,官方文档,B,ref/sys/comp 分层,https://m3.material.io/foundations/design-tokens/overview,primary,md.ref/md.sys/md.comp,06,经二手核实引用；dims: 06
B032,dim02:S2-26,The Economic Value of Rapid Response Time,Doherty & Thadhani / IBM,1982,—,technical report（常误引为 IBM Systems Journal）,B,response time,原文难获取；https://jlelliotton.blogspot.com/p/the-economic-value-of-rapid-response.html,primary(弱),Doherty threshold 400ms,02,"关键数字无法独立复核；注意 ""Doherty & Kelisky 1979"" 讹传；Low Confidence（L6：IBM 内部报告、原文难获取、400ms 数字无法独立复核）；dims: 02"
B033,dim04:S22,Rating the Severity of Usability Problems,Jeff Sauro / MeasuringU,2013,—,article,B,severity practice,https://measuringu.com/rating-severity/,secondary,"Nielsen/Rubin/Dumas scales, 3-level scale",04,量表简化实践证据；dims: 04
B034,dim04:S04,The 8-Point Grid,Bryn Jackson / spec.fm,2014,—,article,B,spacing system,https://spec.fm/specifics/8-pt-grid,primary,"8pt grid, density scaling",04,命名与普及者；工程理由非感知证据；dims: 04
B035,dim06:S33,tokens-studio/sd-transforms,Tokens Studio,2026,2.0.3,官方仓库,B,token pipeline,https://github.com/tokens-studio/sd-transforms,primary,DTCG 类型对齐、resolveMath、Compose shorthand、$themes,06,Style Dictionary 生态；dims: 06
B036,dim08:R8-44,Code Execution with MCP: Building More Efficient Agents,Anthropic,2025-11,blog,vendor engineering blog,B,tool-based knowledge access,https://www.anthropic.com/engineering/code-execution-with-mcp,secondary,工具定义按需加载 150k→2k tokens,08,经二手核验；progressive disclosure 同源实践；dims: 08
B037,dim04:S24,Proportional vs. Tabular Figures,Fonts.com (Monotype),—,current,reference article,B,typography,https://www.myfonts.com/pages/fontscom-learning-fontology-level-3-numbers-proportional-vs-tabular-figures/,secondary,"tnum, tabular figures",04,与 MS Learn 互证；dims: 04
B038,dim03:S22,Implementing a Pattern Library in the Real World: A Yahoo! Case Study,"Malone, Leacock, Wheeler",2005,—,行业论文,B,Yahoo 模式库,http://leacock.com/patterns/,primary,Yahoo Pattern Library 内部实施,03,Yahoo 库已随 YDN 关闭；dims: 03
B039,dim03:S03,Mental Models in UX Research,Koji,2026,—,研究指南,B,心智模型,https://www.koji.so/docs/mental-models-research-guide,secondary,心智模型、system image gap,03,转引 Nielsen 与 Indi Young；dims: 03
B040,dim03:S24,Design Systems vs Pattern Libraries vs Style Guides,UXPin,2026,—,实践文章,B,概念分层,https://www.uxpin.com/studio/blog/design-systems-vs-pattern-libraries-vs-style-guides-whats-difference/,secondary,pattern=组件如何组合解决用户问题；Atomic Design 映射,03,分层表可直接引用；dims: 03
B041,dim07:S04,Web features explorer: Customizable select,web-platform-dx,2025,Chrome 135,平台数据,B,浏览器支持,https://web-platform-dx.github.io/web-features-explorer/features/customizable-select/,secondary,跨浏览器支持状态,07,2025-04 Chrome/Edge 发布；dims: 07
B042,dim03:S15,Progressive Disclosure,IxDF Glossary of HCI,2024,—,学术百科,B,渐进披露,https://ixdf.org/literature/book/the-glossary-of-human-computer-interaction/progressive-disclosure,secondary,Nielsen 2006 定义、四指南、Carroll training wheels、实证缺失,03,"明确标注 ""Empirical research lacking""；dims: 03"
B043,dim03:S16,What Is Progressive Disclosure in UX,UXPin,2026,—,实践文章,B,渐进披露,https://www.uxpin.com/studio/blog/what-is-progressive-disclosure/,secondary,三种类型、不应使用的条件,03,dims: 03
B044,dim03:S28,Direct Manipulation 论文注释,Andrew Clark（注 Shneiderman 1983）,2026,—,注释页,B,直接操纵,https://andrewclark.co.uk/all-media/direct-manipulation,secondary,三特征、1983 经典论文,03,原始论文 Shneiderman 1983；dims: 03
B045,dim03:S40,设计系统内容对比研究（Atlassian/Material/HIG）,Aalto University thesis,n.d.,—,学位论文,B,设计系统结构,https://aaltodoc.aalto.fi/bitstreams/f249003f-932f-47b1-a14d-2b1f3fe1855f/download,secondary,Atlassian patterns=page/template 级,03,dims: 03
C001,dim06:S07,Creating an accessible search experience with QueryBuilder,GitHub Blog,2022,—,官方工程博客,C,a11y pattern,https://github.blog/engineering/user-experience/creating-an-accessible-search-experience-with-the-querybuilder-component/,primary,Web Component 内核跨 React/VC 共享,06,—；dims: 06
C002,dim04:S19; dim05:S07,The Automated Accessibility Coverage Report,Deque Systems,2024 (upd. 2026),current,industry report,C,accessibility automation,https://www.deque.com/automated-accessibility-coverage-report/,primary,"57.38% issues vs ~30% SC, axe-core, 57.38% issue 覆盖率, top-7 类别","04, 05","13k+ 页面状态、~300k issues；厂商数据但口径透明；厂商自研数据；与 W3C ACT 31% SC 口径并用；level reconciled from B/C（cross-verification §5 裁决：Deque 厂商自研数据统一为 C——样本大但无独立复现；axe-core 工具/规则库与数据报告区分）；Conflict Zone C4（Resolved，口径调和+入库规则""分母随行""）：57.38% 按 issue 量（Deque）；W3C ACT 按 SC 数为 17/55≈31%（WCAG 2.2 A/AA）；axe 覆盖 WCAG 2.1 AA 50 SC 中约 15–16 条≈30%。三口径均真实，引用时必须绑定各自分母；dims: 04, 05"
C003,dim05:S08,Deque stakes claim… (80.39%),Deque Systems,2022-03,—,Vendor research,C,Accessibility testing,https://www.deque.com/blog/deque-stakes-claim-as-undisputed-leader-in-automated-accessibility-testing-coverage-with-new-report/,primary,Intelligent Guided Tests → 80.39%,05,半自动引导测试覆盖率；dims: 05
C004,dim08:R8-07,"Agent Skills for Large Language Models: Architecture, Acquisition, Security, and the Path Forward",arXiv 作者群,2026,arXiv:2602.12430,preprint survey,C,agent skills,https://arxiv.org/html/2602.12430v3,secondary,"skill vs tool 架构区分, 跨厂商采纳, MCP 互补",08,行业全景证据；dims: 08
C005,dim08:R8-27,UXBench: Measuring the Actionability of LLM-Generated UX Critiques,arXiv 作者群,2026,arXiv:2606.16262,preprint,C,AI design critique,https://arxiv.org/html/2606.16262,primary,"截图评审=流畅但证据薄弱, 交互式取证",08,对 Validation 阶段设计直接相关；dims: 08
C006,dim04:S20,Catching UX Flaws in Code (LLM heuristic evaluation),"Luchs & Nizamani / Virginia Tech, arXiv",2025,v1,preprint,C,AI evaluation,https://arxiv.org/html/2512.04262v1,primary,"LLM HE, Cohen's κ 0.50, severity unreliable",04,首批 LLM 评估器 IRR 量化；原级别标注 C(新兴研究)（归入 C 组，细目保留）；dims: 04
